IMDB ID,Budget,Gross,,,,,,,,,,,,,,
tt0086423,"$8,443,124 ",,,,,,,,,,,,,,,
tt0086873,"$36,403,064 ",,,,,,,,,,,,,,,
tt0086993,"$25,000,000 ","$8,600,000 ",,,,,,,,,,,,,,
tt0087078,"$18,000,000 ","$31,042,035 ",,,,,,,,,,,,,,
tt0087332,"$30,000,000 ","$238,632,124 ",,,,,,,,,,,,,,
tt0087384,,,,,,,,,,,,,,,,
tt0087452,"$7,343,032 ",,,,,,,,,,,,,,,
tt0087635,"$5,718,573 ",,,,,,,,,,,,,,,
tt0087688,"$1,945,658 ",,,,,,,,,,,,,,,
tt0087727,"$2,550,000 ","$22,812,500 ",,,,,,,,,,,,,,
tt0087803,,"GBP3,000,000",,,,,,,,,,,,,,
tt0087995,"$1,500,000 ","$3,569,083 ",,,,,,,,,,,,,,
tt0088007,"$18,000,000 ","$11,489,982 ",,,,,,,,,,,,,,
tt0088024,"$6,770,587 ",,,,,,,,,,,,,,,
